productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
AB1021,All About Me - Sheriff and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The child is the star as they learn what some of a sheriff’s duties are. Follow a sheriff as they work in a courtroom, serve important papers door to door and sometimes even work in jails. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1021_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1022,All About Me - Home Safety and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. A must have for every household. The child can be the star as they learn how to prevent accidents at home by being aware of their surroundings and knowing what is safe and what is unsafe to play with. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1022_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1023,All About Me - Car Safety and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. When riding in the car, there are some things you should know. This story helps teach children how to be safe by sitting still, wearing a seatbelt and keeping their head, hands and feet inside the vehicle at all times. The child is the star of this educational car ride. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1023_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1024,All About Me - First Aid and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The child is the star of this educational story that teaches the importance of knowing how to help someone when they are hurt. Calling 9-1-1, having a first aid kit handy and keeping small cuts clean are just a few tips that can keep us all safe. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1024_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1025,All About Me - Gun Safety and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Your child will be the smartest star of this important story that teaches them the dangers of guns. Stay safe by staying away! Children learn what to do if someone shows them a gun or threatens them with one. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1025_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1026,All About Me - Black History and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Learn all about Martin Luther King Jr., Harriet Tubman, Rosa Parks and other great African-American icons that helped pave the way for equality. The child is the proud star of this educational, beautifully illustrated book. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1026_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1027,All About Me - Christmas and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. The child is the star as they learn about the true meaning of Christmas in this colorful and interactive book. This timeless keepsake also includes some holiday tips. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1027_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1028,All About Me - Natural Disasters and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Learn how to prepare in case of a blizzard, flood, earthquake, tornado and more. The child is the star as they receive helpful tips to keep safe during a natural disaster. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1028_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1029,All About Me - Playing Sports and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Playing sports can help you grow strong and healthy. While being the star of this interactive book, the child learns about choosing the right sport for them, always working together as a team and to be a good player, even when you don’t win. For these and many more: Childcare Centers~Community Centers~Insurance~Police Departments~Sports Centers~Retail~Schools~Security -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1029_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1030,All About Me - Farm and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Growing up on a farm is a wonderful thing. While being the star of this interactive book, the child takes pride in feeding the animals and caring for the crops. The valuable lesson of this story is that the whole world can benefit from your hard work. -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1030_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
AB1031,All About Me - Military Parent and Me,135,Awareness,Awareness,All About Me,"This new children’s adventure book provides a space on the back cover to insert a child’s picture. With the picture in place, the child becomes an instant star. His or her picture appears on every page of the storyline throughout. Many children grow up in homes with a parent in the military. As the star of this comforting story, the child is proud of their military parent but misses them a lot. This interactive picture book provides helpful tips such as writing letters, sending pictures, helping out around the house and discussing your feelings with others to help pass the time while waiting for the safe return of their parent. -Great story lines with creative characters -Illustration lets kids be the star -Includes a signature page. Imprint your logo in one of several colors - Not just in black! Book size: 6"" x 7"" Imprint size: 4-1/2"" x 2"" (imprinted on back bottom cover)",56301 | Saint Cloud | MN,,AB1031_F.jpg,"6"" x 7""",,"Price includes one color,one location imprint.",Silkscreen,,7 lbs. per 100 pieces,"5 working days without paper proof, 7 working days with paper proof.",,"4"" x 1-3/4""",Bulk,,,$35.00(G) per color. Repeat Orders: First set-up FREE. Additional set-ups are $20.00(G).,,"Add $.12(G) each, if accepted.",,21,9.25,10,12.25,300,Standard,300,0.89,C,500,0.83,C,1000,0.8,C,2500,0.77,C,,,,,,
